"Country or Area","Year","Value","Value Footnotes"
"Albania","2016","33.7","1"
"Argentina","2016","42","2"
"Armenia","2016","32.5","3"
"Austria","2016","30.8","4"
"Bangladesh","2016","32.4","5"
"Belarus","2016","25.3","6"
"Belgium","2016","27.6","4"
"Bolivia","2016","45.3","7"
"Brazil","2016","53.3","8"
"Bulgaria","2016","40.6","4"
"Canada","2016","32.7","9"
"China","2016","38.5","10"
"Colombia","2016","50.6","11"
"Costa Rica","2016","48.7","12"
"Croatia","2016","30.9","4"
"Cyprus","2016","32.9","4"
"Czech Republic","2016","25.4","4"
"Denmark","2016","28.2","4"
"Dominican Republic","2016","45.7","13"
"Ecuador","2016","45","14"
"El Salvador","2016","40","15"
"Estonia","2016","31.2","4"
"Eswatini","2016","54.6","5"
"Finland","2016","27.1","4"
"France","2016","31.9","4"
"Georgia","2016","36.6","16"
"Germany","2016","31.9","17"
"Ghana","2016","43.5","18"
"Greece","2016","35","4"
"Honduras","2016","49.8","19"
"Hungary","2016","30.3","4"
"Iceland","2016","27.2","4"
"Indonesia","2016","38.6","20"
"Iran","2016","40","21"
"Ireland","2016","32.8","4"
"Israel","2016","39","22"
"Italy","2016","35.2","4"
"Kazakhstan","2016","27.2","1"
"Korea","2016","31.4","23"
"Kosovo","2016","26.7","24"
"Kyrgyz Republic","2016","26.8","25"
"Latvia","2016","34.3","4"
"Liberia","2016","35.3","5"
"Lithuania","2016","38.4","4"
"Luxembourg","2016","31.7","4"
"Malawi","2016","44.7","26"
"Maldives","2016","31.3","5"
"Malta","2016","29.1","4"
"Mexico","2016","46.3","27"
"Moldova","2016","26.3","1"
"Mongolia","2016","32.3","28"
"Montenegro","2016","38.5","29"
"Netherlands","2016","28.2","4"
"North Macedonia","2016","34.5","29"
"Norway","2016","28.5","4"
"Panama","2016","50.4","7"
"Paraguay","2016","47.9","30"
"Peru","2016","43.6","12"
"Poland","2016","31.2","4"
"Portugal","2016","35.2","4"
"Romania","2016","34.4","4"
"Russia","2016","36.8","1"
"Rwanda","2016","43.7","31"
"Serbia","2016","38.8","4"
"Slovak Republic","2016","25.2","4"
"Slovenia","2016","24.8","4"
"South Sudan","2016","44.1","32"
"Spain","2016","35.8","4"
"Sri Lanka","2016","39.3","5"
"St. Lucia","2016","51.2","33"
"Sweden","2016","29.6","4"
"Switzerland","2016","33","4"
"Thailand","2016","36.9","34"
"Turkey","2016","41.9","35"
"Uganda","2016","42.8","36"
"Ukraine","2016","25","37"
"United Kingdom","2016","34.8","4"
"United States","2016","41.1","38"
"Uruguay","2016","39.7","39"
"Vietnam","2016","35.3","40"
"West Bank and Gaza","2016","33.7","41"