"country","spending","pop2022"
"United States","750000000000","334805.2690"
"China","237000000000","1448471.4000"
"Saudi Arabia","67600000000","35844.9090"
"India","61000000000","1406631.7760"
"United Kingdom","55100000000","68497.9070"
"Germany","50000000000","83883.5960"
"Japan","49000000000","125584.8380"
"Russia","48000000000","145805.9470"
"South Korea","44000000000","51329.8990"
"France","41500000000","65584.5180"
"Italy","27800000000","60262.7700"
"Brazil","27800000000","215353.5930"
"Australia","26300000000","26068.7920"
"United Arab Emirates","22755000000","10081.7850"
"Canada","22500000000","38388.4190"
"Israel","20000000000","8922.8920"
"Iran","19600000000","86022.8370"
"Turkey","19000000000","85561.9760"
"Spain","15100000000","46719.1420"
"Algeria","13000000000","45350.1480"
"Netherlands","12419000000","17211.4470"
"Poland","12000000000","37739.7850"
"Afghanistan","12000000000","40754.3880"
"Pakistan","11400000000","229488.9940"
"Singapore","11200000000","5943.5460"
"Egypt","11200000000","106156.6920"
"Taiwan","10725000000","23888.5950"
"Colombia","10600000000","51512.7620"
"Morocco","10000000000","37772.7560"
"Oman","8686000000","5323.9930"
"Indonesia","7600000000","279134.5050"
"Norway","7179000000","5511.3700"
"Thailand","7100000000","70078.2030"
"Angola","7000000000","35027.3430"
"Mexico","7000000000","131562.7720"
"Kuwait","6831000000","4380.3260"
"Sweden","6327000000","10218.9710"
"Qatar","6000000000","2979.9150"
"Vietnam","5500000000","98953.5410"
"Ukraine","5400000000","43192.1220"
"Romania","5050000000","19031.3350"
"Switzerland","5000000000","8773.6370"
"Uruguay","4950000000","3496.0160"
"Belgium","4921000000","11668.2780"
"Greece","4844000000","10316.6370"
"Denmark","4760000000","5834.9500"
"New Zealand","4300000000","4898.2030"
"South Africa","4278000000","60756.1350"
"Chile","4250000000","19250.1950"
"Argentina","4200000000","46010.2340"
"Kazakhstan","4000000000","19205.0430"
"Malaysia","4000000000","33181.0720"
"Bangladesh","3800000000","167885.6890"
"Finland","3570000000","5554.9600"
"Philippines","3470000000","112508.9940"
"Austria","3380000000","9066.7100"
"Portugal","3358000000","10140.5700"
"Libya","3000000000","7040.7450"
"Czech Republic","2969000000","10736.7840"
"Azerbaijan","2805000000","10300.2050"
"Myanmar","2650000000","55227.1430"
"Jordan","2600000000","10300.8690"
"Peru","2560000000","33684.2080"
"Lebanon","2500000000","6684.8490"
"Ecuador","2500000000","18113.3610"
"Sri Lanka","2500000000","21575.8420"
"Sudan","2470000000","45992.0200"
"Nigeria","2155000000","216746.9340"
"Slovakia","2122000000","5460.1930"
"Hungary","2080000000","9606.2590"
"Syria","1800000000","19364.8090"
"Iraq","1730000000","42164.9650"
"Tajikistan","1600000000","9957.4640"
"North Korea","1600000000","25990.6790"
"Bahrain","1415000000","1783.9830"
"Yemen","1400000000","31154.8670"
"Armenia","1385000000","2971.9660"
"Lithuania","1107000000","2661.7080"
"Bulgaria","1079000000","6844.5970"
"Uzbekistan","975000000","34382.0840"
"Uganda","935000000","48432.8630"
"Serbia","907000000","8653.0160"
"Ireland","870000000","5020.1990"
"Croatia","800000000","4059.2860"
"Dominican Republic","760000000","11056.3700"
"Venezuela","745000000","29266.9910"
"Latvia","724000000","1848.8370"
"Republic of the Congo","715000000","5797.8050"
"Ghana","710000000","32395.4500"
"Estonia","685000000","1321.9100"
"Bolivia","660000000","11992.6560"
"Cambodia","604000000","17168.6390"
"Slovenia","581000000","2078.0340"
"Tunisia","550000000","12046.6560"
"Ivory Coast","550000000","27742.2980"
"Namibia","505000000","2633.8740"
"Panama","500000000","4446.9640"
"Cuba","500000000","11305.6520"
"Botswana","450000000","2441.1620"
"Ethiopia","350000000","120812.6980"
"Cameroon","347000000","27911.5480"
"Georgia","327000000","3968.7380"
"Albania","250000000","2866.3740"
"Paraguay","250000000","7305.8430"
"Mozambique","245000000","33089.4610"
"Guatemala","240000000","18584.0390"
"Tanzania","223000000","63298.5500"
"Nepal","213000000","30225.5820"
"Honduras","205000000","10221.2470"
"Turkmenistan","200000000","6201.9430"
"Chad","200000000","17413.5800"
"El Salvador","167000000","6550.3890"
"Bosnia and Herzegovina","165000000","3249.3170"
"Mongolia","155000000","3378.0780"
"Nicaragua","140000000","6779.1000"
"Burkina Faso","130000000","22102.8380"
"Kenya","121000000","56215.2210"
"Madagascar","115000000","29178.0770"
"North Macedonia","108150000","2081.3040"
"Zimbabwe","100000000","15331.4280"
"DR Congo","100000000","95240.7920"
"Gabon","83000000","2331.5330"
"South Sudan","80000000","11618.5110"
"Sierra Leone","75500000","8306.4360"
"Mali","70000000","21473.7640"
"Montenegro","65000000","627.9500"
"Suriname","63000000","596.8310"
"Somalia","62200000","16841.7950"
"Mauritania","50250000","4901.9810"
"Zambia","40000000","19470.2340"
"Moldova","30000000","4013.1710"
"Bhutan","25120000","787.9410"
"Central African Republic","20000000","5016.6780"
"Kyrgyzstan","20000000","6728.2710"
"Laos","18500000","7481.0230"
"Liberia","13000000","5305.1170"
"Belarus","623.7000","9432.8000"